QualifyingAreaName,TotalPopulation,Male,Female,WhitePopulation,White_Male,White_Female,FreeColoredPopulation,FreeColored_Male,FreeColored_Female,SlavePopulation,Slave_Male,Slave_Female,FreePersons,FreePersons_White,FreePersons_White_Male,FreePersons_White_Female,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Male,FreePersons_ColoredPersons_Female,SlavePopulation_Male,SlavePopulation_Female,DisabledWhite,DisabledWhite_DeafandDumb,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPublicCharge,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinMining,PersonsEmployedinAgriculture,PersonsEmployedinCommerce,PersonsEmployedinManufacturingTrade,PersonsEmployedinOceanNavigation,PersonsEmployedinLandNavigation,PersonsEmployedEngineersProfessional,PensionersofRevolutionaryWarorMilitaryService,CollegeUniversityStudents,AcademyGrammarSchoolStudents,PrimaryCommonSchoolStudents,StudentsatPublicCharge,IlliterateWhiteAge20andOver,LiterateWhiteAge20andOver,NumberofPersonsEmployedinPrintingBinding
"Dekalb County, Alabama",5929,3057,2872,5589,2890,2699,0,0,0,340,167,173,5589,5589,2890,2699,0,0,0,167,173,0,0,0,0,0,0,1076,5,42,0,0,1,3,0,147,164,0,834,1242,0
"Fayette County, Alabama",6942,3533,3409,5961,3050,2911,0,0,0,981,483,498,5961,5961,3050,2911,0,0,0,483,498,3,1,3,0,3,0,2075,5,49,0,0,24,7,0,0,273,0,709,1361,0
"Franklin County, Alabama",14270,7385,6885,8236,4350,3886,29,18,11,6005,3017,2988,8265,8236,4350,3886,29,18,11,3017,2988,12,3,11,2,9,0,5374,57,176,0,0,35,2,1,25,447,23,213,2917,0
"Greene County, Alabama",24024,12694,11330,7556,4149,3407,37,22,15,16431,8523,7908,7593,7556,4149,3407,37,22,15,8523,7908,8,2,6,0,6,0,9729,0,200,0,0,108,8,0,242,173,0,156,3100,7
"Henry County, Alabama",5787,3001,2786,4701,2463,2238,2,1,1,1084,537,547,4703,4701,2463,2238,2,1,1,537,547,1,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,122,329,0,410,1265,0
"Jackson County, Alabama",15715,7862,7853,13863,6980,6883,36,17,19,1816,865,951,13899,13863,6980,6883,36,17,19,865,951,29,9,24,4,20,0,4853,35,173,0,4,51,18,0,0,535,0,2340,2719,4
"Jefferson County, Alabama",7131,3655,3476,5486,2875,2611,9,4,5,1636,776,860,5495,5486,2875,2611,9,4,5,776,860,9,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,5,0,0,464,0,772,1278,0
"Lauderdale County, Alabama",14485,7336,7149,9447,4800,4647,69,38,31,4969,2498,2471,9516,9447,4800,4647,69,38,31,2498,2471,13,6,9,4,5,0,4714,68,371,5,36,37,2,0,85,456,195,891,2662,6
"Lawrence County, Alabama",13313,6747,6566,7143,3705,3438,25,9,16,6145,3033,3112,7168,7143,3705,3438,25,9,16,3033,3112,11,5,5,1,4,0,4180,0,0,0,0,0,10,0,25,600,192,101,2479,0
"Limestone County, Alabama",14374,7377,6997,7498,3891,3607,36,20,16,6840,3466,3374,7534,7498,3891,3607,36,20,16,3466,3374,11,2,16,7,9,12,4946,30,236,0,0,20,5,0,155,683,552,680,2240,0
"Lowndes County, Alabama",19539,9967,9572,6956,3707,3249,14,9,5,12569,6251,6318,6970,6956,3707,3249,14,9,5,6251,6318,0,0,0,0,0,0,7516,0,119,0,0,44,1,0,247,100,0,32,2766,0
"Macon County, Alabama",11247,5819,5428,5369,2890,2479,27,11,16,5851,2918,2933,5396,5369,2890,2479,27,11,16,2918,2933,9,6,6,2,4,0,3973,24,23,0,0,24,2,0,243,368,0,161,1956,0
"Madison County, Alabama",25706,13088,12618,12297,6301,5996,144,74,70,13265,6713,6552,12441,12297,6301,5996,144,74,70,6713,6552,28,7,27,11,16,0,8528,98,579,1,15,101,14,0,125,1167,534,1086,3898,15
"Marengo County, Alabama",17264,9066,8198,5350,2915,2435,12,10,2,11902,6141,5761,5362,5350,2915,2435,12,10,2,6141,5761,4,2,3,1,2,0,7574,22,114,0,5,30,3,0,131,201,63,105,2098,3
"Marion County, Alabama",5847,2977,2870,5094,2606,2488,0,0,0,753,371,382,5094,5094,2606,2488,0,0,0,371,382,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1643,0
"Marshall County, Alabama",7553,3808,3745,6688,3394,3294,24,17,7,841,397,444,6712,6688,3394,3294,24,17,7,397,444,29,13,13,2,11,0,1093,15,45,0,9,9,5,0,0,436,0,1121,1344,0
"Mobile County, Alabama",18741,11070,7671,11763,7597,4166,787,368,419,6191,3105,3086,12550,11763,7597,4166,787,368,419,3105,3086,20,12,6,0,6,0,808,1010,1501,244,647,157,3,1,297,170,334,413,7061,36
"Monroe County, Alabama",10680,5412,5268,5370,2841,2529,18,8,10,5292,2563,2729,5388,5370,2841,2529,18,8,10,2563,2729,10,1,12,1,11,0,3811,0,114,0,0,20,2,0,0,306,0,235,1916,0
"Montgomery County, Alabama",24574,12637,11937,8972,4863,4109,116,59,57,15486,7715,7771,9088,8972,4863,4109,116,59,57,7715,7771,14,3,19,1,18,0,10120,135,296,0,0,66,2,0,212,678,241,806,2982,6
"Morgan County, Alabama",9841,4939,4902,6580,3338,3242,45,25,20,3216,1576,1640,6625,6580,3338,3242,45,25,20,1576,1640,21,9,9,3,6,0,2144,14,16,0,1,11,8,0,131,443,43,361,2111,2
"Perry County, Alabama",19086,9916,9170,8721,4592,4129,22,14,8,10343,5310,5033,8743,8721,4592,4129,22,14,8,5310,5033,0,0,0,0,0,0,7660,16,143,0,0,31,1,0,95,134,0,28,3389,0
"Pickens County, Alabama",17118,8808,8310,9347,4958,4389,7,3,4,7764,3847,3917,9354,9347,4958,4389,7,3,4,3847,3917,17,10,4,4,0,15,6298,46,70,0,0,12,6,0,120,699,0,720,2862,NA
"Pike County, Alabama",10108,5229,4879,7987,4196,3791,10,7,3,2111,1026,1085,7997,7987,4196,3791,10,7,3,1026,1085,12,4,7,0,7,0,3242,15,61,0,0,16,6,0,0,412,45,944,2048,0
"Randolph County, Alabama",4973,2584,2389,4446,2293,2153,1,1,0,526,290,236,4447,4446,2293,2153,1,1,0,290,236,6,3,1,0,1,37,1199,2,24,0,0,0,3,0,0,302,0,150,1515,0
"Russell County, Alabama",13513,7128,6385,6244,3351,2893,3,1,2,7266,3776,3490,6247,6244,3351,2893,3,1,2,3776,3490,2,0,0,0,0,0,5213,13,209,0,1,13,2,0,111,325,12,91,2338,0
"St Clair County, Alabama",5638,2889,2749,4505,2316,2189,8,5,3,1125,568,557,4513,4505,2316,2189,8,5,3,568,557,7,4,4,0,4,0,1449,11,49,2,0,27,2,0,0,398,22,650,993,0
"Shelby County, Alabama",6112,3125,2987,4494,2302,2192,2,1,1,1616,822,794,4496,4494,2302,2192,2,1,1,822,794,7,1,9,1,8,0,1839,8,11,0,0,0,2,0,0,45,128,270,1436,0
"Sumter County, Alabama",29937,15681,14256,13901,7473,6428,116,59,57,15920,8149,7771,14017,13901,7473,6428,116,59,57,8149,7771,5,5,0,0,0,0,6072,0,11,0,0,55,6,0,159,382,0,28,4961,NA
"Talladega County, Alabama",12587,6506,6081,7663,4016,3647,26,11,15,4898,2479,2419,7689,7663,4016,3647,26,11,15,2479,2419,12,2,11,2,9,1,3803,23,31,0,0,34,2,0,182,358,10,486,2447,3
"Tallapoosa County, Alabama",6444,3264,3180,4424,2318,2106,7,3,4,2013,943,1070,4431,4424,2318,2106,7,3,4,943,1070,3,0,3,1,2,0,2160,6,62,0,0,20,0,0,0,248,63,440,1248,0
"Tuscaloosa County, Alabama",16583,8587,7996,9943,5281,4662,86,38,48,6554,3268,3286,10029,9943,5281,4662,86,38,48,3268,3286,0,0,1,0,1,1,194,7,47,0,1,31,1,0,319,0,0,0,3902,0
"Walker County, Alabama",4032,2038,1994,3820,1920,1900,1,1,0,211,117,94,3821,3820,1920,1900,1,1,0,117,94,12,7,4,1,3,0,1141,0,8,0,0,8,6,0,0,0,111,360,925,0
"Washington County, Alabama",5300,2749,2551,2843,1502,1341,23,8,15,2434,1239,1195,2866,2843,1502,1341,23,8,15,1239,1195,3,0,1,0,1,0,1951,12,44,0,2,24,1,0,0,201,0,105,1039,0
"Wilcox County, Alabama",15278,7893,7385,5960,3208,2752,24,11,13,9294,4674,4620,5984,5960,3208,2752,24,11,13,4674,4620,4,1,4,0,4,17,5882,40,116,0,21,64,3,0,205,425,6,178,2135,3
"Arkansas County, Arkansas",1346,748,598,980,571,409,5,3,2,361,174,187,985,980,571,409,5,3,2,174,187,1,0,0,0,0,37,207,0,9,0,2,3,0,0,0,24,0,4,410,0
"Benton County, Arkansas",2228,1162,1066,2050,1081,969,10,2,8,168,79,89,2060,2050,1081,969,10,2,8,79,89,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,121,0,0,756,0
"Carroll County, Arkansas",2844,1500,1344,2707,1439,1268,0,0,0,137,61,76,2707,2707,1439,1268,0,0,0,61,76,5,0,5,0,5,0,868,10,10,0,0,7,0,0,0,185,0,485,420,0
"Chicot County, Arkansas",3806,2083,1723,1105,650,455,3,3,0,2698,1430,1268,1108,1105,650,455,3,3,0,1430,1268,1,0,0,0,0,0,2193,0,0,0,0,0,0,0,0,13,0,65,465,0
"Clark County, Arkansas",2309,1222,1087,1622,884,738,0,0,0,687,338,349,1622,1622,884,738,0,0,0,338,349,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,22,600,0
"Conway County, Arkansas",2892,1551,1341,2695,1455,1240,5,4,1,192,92,100,2700,2695,1455,1240,5,4,1,92,100,1,0,2,0,2,0,787,3,0,0,0,29,0,0,22,0,0,149,920,0
"Crawford County, Arkansas",4266,2515,1751,3614,2201,1413,34,21,13,618,293,325,3648,3614,2201,1413,34,21,13,293,325,1,0,1,0,1,0,938,5,85,0,2,23,1,0,0,61,0,204,1588,0
"Crittenden County, Arkansas",1561,853,708,1096,621,475,11,5,6,454,227,227,1107,1096,621,475,11,5,6,227,227,1,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,82,382,0
"Desha County, Arkansas",1598,888,710,1155,662,493,36,15,21,407,211,196,1191,1155,662,493,36,15,21,211,196,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,540,4
"Franklin County, Arkansas",2665,1407,1258,2257,1213,1044,8,3,5,400,191,209,2265,2257,1213,1044,8,3,5,191,209,5,2,4,2,2,0,759,12,38,0,0,10,0,0,0,133,0,203,631,0
"Greene County, Arkansas",1586,821,765,1536,795,741,0,0,0,50,26,24,1536,1536,795,741,0,0,0,26,24,7,3,0,0,0,0,405,2,8,0,0,0,0,0,0,25,0,50,503,0
"Hempstead County, Arkansas",4921,2658,2263,2923,1634,1289,62,35,27,1936,989,947,2985,2923,1634,1289,62,35,27,989,947,8,4,4,1,3,0,1562,35,116,0,1,28,3,0,148,118,0,156,1024,4
"Hot Spring County, Arkansas",1907,1024,883,1655,908,747,3,2,1,249,114,135,1658,1655,908,747,3,2,1,114,135,4,0,0,0,0,0,519,0,29,0,0,0,0,0,0,60,0,178,444,0
"Independence County, Arkansas",3669,1908,1761,3146,1643,1503,9,8,1,514,257,257,3155,3146,1643,1503,9,8,1,257,257,9,4,5,4,1,0,989,16,93,1,1,24,1,0,55,45,0,388,810,6
"Izard County, Arkansas",2240,1155,1085,2099,1086,1013,0,0,0,141,69,72,2099,2099,1086,1013,0,0,0,69,72,6,0,7,0,7,0,506,2,22,0,0,12,0,0,0,151,0,336,381,0
"Jackson County, Arkansas",1540,818,722,1258,662,596,6,4,2,276,152,124,1264,1258,662,596,6,4,2,152,124,3,0,4,1,3,0,502,2,24,0,2,4,1,0,0,0,0,171,327,0
"Jefferson County, Arkansas",2566,1407,1159,1551,891,660,5,2,3,1010,514,496,1556,1551,891,660,5,2,3,514,496,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,675,0
"Johnson County, Arkansas",3433,1807,1626,2839,1520,1319,3,1,2,591,286,305,2842,2839,1520,1319,3,1,2,286,305,3,0,2,0,2,0,838,5,64,0,0,14,1,0,0,138,0,163,906,0
"Lafayette County, Arkansas",2200,1208,992,555,346,209,1,1,0,1644,861,783,556,555,346,209,1,1,0,861,783,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,256,0
"Lawrence County, Arkansas",2835,1462,1373,2562,1335,1227,6,3,3,267,124,143,2568,2562,1335,1227,6,3,3,124,143,1,0,3,0,3,0,787,0,0,0,0,7,1,0,0,115,0,106,824,0
"Madison County, Arkansas",2775,1448,1327,2692,1413,1279,0,0,0,83,35,48,2692,2692,1413,1279,0,0,0,35,48,6,1,3,0,3,0,823,4,7,0,0,36,3,0,0,53,0,476,458,0
"Marion County, Arkansas",1325,704,621,1221,649,572,65,37,28,39,18,21,1286,1221,649,572,65,37,28,18,21,0,0,0,0,0,0,351,0,4,0,0,0,1,0,0,0,0,229,213,0
"Mississippi County, Arkansas",1410,789,621,900,513,387,0,0,0,510,276,234,900,900,513,387,0,0,0,276,234,0,0,0,0,0,0,109,0,0,0,0,1,0,0,0,25,0,0,419,0
"Monroe County, Arkansas",936,514,422,786,437,349,2,1,1,148,76,72,788,786,437,349,2,1,1,76,72,2,1,2,2,0,0,236,0,0,0,0,0,0,0,0,33,0,106,230,0
"Phillips County, Arkansas",3547,1964,1583,2625,1474,1151,17,10,7,905,480,425,2642,2625,1474,1151,17,10,7,480,425,4,4,0,0,0,0,1054,12,73,0,24,22,0,0,0,109,0,207,942,5
"Pike County, Arkansas",969,518,451,860,457,403,0,0,0,109,61,48,860,860,457,403,0,0,0,61,48,0,0,0,0,0,0,306,3,2,0,0,0,1,0,0,0,0,51,288,0
"Poinsett County, Arkansas",1320,689,631,1253,655,598,0,0,0,67,34,33,1253,1253,655,598,0,0,0,34,33,0,0,3,2,1,0,334,3,12,0,5,1,0,0,0,76,0,108,357,0
"Pope County, Arkansas",2850,1521,1329,2626,1406,1220,9,6,3,215,109,106,2635,2626,1406,1220,9,6,3,109,106,3,1,2,0,2,0,848,6,23,0,0,7,1,0,0,78,0,379,620,0
"Pulaski County, Arkansas",5350,3117,2233,3961,2389,1572,105,53,52,1284,675,609,4066,3961,2389,1572,105,53,52,675,609,2,1,0,0,0,0,725,3,8,1,0,18,0,0,0,48,0,157,1863,16
"Randolph County, Arkansas",2196,1153,1043,1973,1037,936,7,2,5,216,114,102,1980,1973,1037,936,7,2,5,114,102,1,0,0,0,0,0,703,6,16,0,0,9,1,0,0,109,0,318,399,0
"St Francis County, Arkansas",2499,1328,1171,2132,1145,987,2,2,0,365,181,184,2134,2132,1145,987,2,2,0,181,184,1,0,2,1,1,0,856,8,33,1,0,9,0,0,0,70,0,292,514,0
"Saline County, Arkansas",2061,1095,966,1662,874,788,0,0,0,399,221,178,1662,1662,874,788,0,0,0,221,178,0,0,0,0,0,0,798,3,0,0,0,3,0,0,0,36,0,55,569,0
"Scott County, Arkansas",1694,938,756,1542,866,676,21,12,9,131,60,71,1563,1542,866,676,21,12,9,60,71,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,103,0,80,470,0
"Searcy County, Arkansas",936,474,462,933,474,459,0,0,0,3,0,3,933,933,474,459,0,0,0,0,3,1,0,0,0,0,0,249,0,248,0,0,0,0,0,0,0,0,165,165,0
"Sevier County, Arkansas",2810,1458,1352,2076,1098,978,9,4,5,725,356,369,2085,2076,1098,978,9,4,5,356,369,3,1,4,0,4,4,945,12,29,0,2,5,1,0,0,168,0,247,537,0
"Union County, Arkansas",2889,1498,1391,1981,1059,922,2,1,1,906,438,468,1983,1981,1059,922,2,1,1,438,468,7,5,2,0,2,0,1062,8,5,0,0,5,0,0,0,64,0,208,569,0
"Van Buren County, Arkansas",1518,841,677,1459,814,645,0,0,0,59,27,32,1459,1459,814,645,0,0,0,27,32,3,0,3,0,3,0,337,0,9,0,0,1,0,0,0,95,0,154,358,0
"Washington County, Arkansas",7148,3822,3326,6246,3387,2859,19,8,11,883,427,456,6265,6246,3387,2859,19,8,11,427,456,22,12,5,1,4,0,2070,55,206,0,0,23,8,0,75,358,0,573,1828,2
"White County, Arkansas",929,510,419,841,467,374,0,0,0,88,43,45,841,841,467,374,0,0,0,43,45,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,327,0
"Fairfield County, Connecticut",49917,24455,25462,48580,23788,24792,1335,666,669,2,1,1,49915,48580,23788,24792,1335,666,669,1,1,65,13,39,10,29,0,6446,420,4167,219,61,227,282,0,867,8285,60,22,25951,23
"Hartford County, Connecticut",55629,27144,28485,54347,26560,27787,1282,584,698,0,0,0,55629,54347,26560,27787,1282,584,698,0,0,346,176,143,20,123,12,8128,771,5159,80,63,329,263,2,1043,10983,1,107,29963,193
"Litchfield County, Connecticut",40448,20114,20334,39410,19593,19817,1037,521,516,1,0,1,40447,39410,19593,19817,1037,521,516,0,1,121,18,91,22,69,46,8376,191,2969,1,0,211,222,0,480,9667,0,63,21483,6
"Middlesex County, Connecticut",24879,12144,12735,24439,11941,12498,439,203,236,1,0,1,24878,24439,11941,12498,439,203,236,0,1,58,11,42,9,33,81,3094,246,1898,260,119,120,115,1,328,5225,2113,35,12843,26
"New Haven County, Connecticut",48582,23742,24840,47135,23062,24073,1439,674,765,8,6,2,48574,47135,23062,24073,1439,674,765,6,2,107,31,69,18,51,1,7376,781,4883,462,118,393,237,1,1030,8160,1179,166,25910,89
"New London County, Connecticut",44463,22204,22259,42723,21389,21334,1740,815,925,0,0,0,44463,42723,21389,21334,1740,815,925,0,0,119,28,77,41,36,0,11585,183,3590,1666,70,197,241,0,747,10790,2619,97,22581,31
"Tolland County, Connecticut",17980,8690,9290,17741,8555,9186,239,135,104,0,0,0,17980,17741,8555,9186,239,135,104,0,0,56,14,36,5,31,11,5520,83,1688,11,0,83,132,0,53,4880,893,12,9643,0
"Windham County, Connecticut",28080,13706,14374,27481,13412,14069,594,293,301,5,1,4,28075,27481,13412,14069,594,293,301,1,4,78,18,45,13,32,0,6430,68,3578,1,0,137,174,0,317,7749,4047,24,14943,0
"Kent County, Delaware",19872,10069,9803,13618,6885,6733,5827,2952,2875,427,232,195,19445,13618,6885,6733,5827,2952,2875,232,195,35,12,23,11,12,0,4604,232,659,4,82,33,1,0,65,2997,0,1913,4325,2
"New Castle County, Delaware",33120,16571,16549,25806,12797,13009,6773,3476,3297,541,298,243,32579,25806,12797,13009,6773,3476,3297,298,243,37,10,36,15,21,0,5119,83,2805,185,57,120,3,1,479,2618,1369,529,12316,27
"Sussex County, Delaware",25093,12616,12477,19137,9577,9560,4319,2198,2121,1637,841,796,23456,19137,9577,9560,4319,2198,2121,841,796,40,23,21,3,18,5,6292,152,596,212,96,46,0,0,220,1309,202,2390,6156,4
"Alexandria County, District of Columbia",8459,3856,4603,5758,2748,3010,1627,664,963,1074,444,630,7385,5758,2748,3010,1627,664,963,444,630,4,2,3,0,3,0,15,136,933,63,40,51,6,0,296,224,199,267,2486,NA
"Georgetown County, District of Columbia",7312,3206,4106,5124,2290,2834,1403,589,814,785,327,458,6527,5124,2290,2834,1403,589,814,327,458,3,0,1,1,0,0,0,0,426,16,9,42,0,0,484,435,70,349,2090,5
"Rural Alexandria County County, District of Columbia",1508,773,735,973,490,483,235,110,125,300,173,127,1208,973,490,483,235,110,125,173,127,9,0,11,2,9,0,259,1,19,2,0,2,0,0,0,0,0,0,493,NA
"Rural Washington county County, District of Columbia",3069,1704,1365,1959,1098,861,288,141,147,822,465,357,2247,1959,1098,861,288,141,147,465,357,2,2,0,0,0,0,84,0,14,0,6,25,2,2,0,25,0,54,833,0
"Washington City County, District of Columbia",23364,10794,12570,16843,8196,8647,4808,1949,2859,1713,649,1064,21651,16843,8196,8647,4808,1949,2859,649,1064,10,4,6,1,5,0,26,103,886,45,25,83,7,0,609,167,213,363,8080,271
"Alachua County, Florida Territory",2282,1594,688,1719,1289,430,1,1,0,562,304,258,1720,1719,1289,430,1,1,0,304,258,0,0,0,0,0,0,204,11,0,0,0,4,0,0,0,0,0,0,1174,0
"Columbia County, Florida Territory",2102,1127,975,1649,879,770,3,1,2,450,247,203,1652,1649,879,770,3,1,2,247,203,2,2,0,0,0,0,623,0,0,0,0,0,0,0,0,61,0,0,656,0
"Dade County, Florida Territory",446,324,122,412,305,107,4,3,1,30,16,14,416,412,305,107,4,3,1,16,14,0,0,0,0,0,0,44,3,6,1,0,1,0,0,0,28,0,0,295,0
"Duval County, Florida Territory",4156,2423,1733,2250,1455,795,105,49,56,1801,919,882,2355,2250,1455,795,105,49,56,919,882,1,0,2,0,2,0,387,0,0,6,0,10,1,0,0,75,0,12,1315,0
"Escambia County, Florida Territory",3993,2176,1817,2330,1334,996,307,133,174,1356,709,647,2637,2330,1334,996,307,133,174,709,647,5,0,4,1,3,0,103,55,383,71,2,22,2,0,100,82,0,142,1062,3
"Franklin County, Florida Territory",1030,716,314,782,584,198,26,22,4,222,110,112,808,782,584,198,26,22,4,110,112,0,0,0,0,0,0,13,97,55,169,98,5,0,0,0,0,0,24,566,12
"Calhoun County, Florida Territory",1142,685,457,705,461,244,17,7,10,420,217,203,722,705,461,244,17,7,10,217,203,1,0,0,0,0,0,73,61,64,33,3,10,0,0,12,24,0,8,440,2
"Gadsden County, Florida Territory",5992,3060,2932,2637,1372,1265,13,5,8,3342,1683,1659,2650,2637,1372,1265,13,5,8,1683,1659,4,0,5,0,5,0,1851,25,39,0,0,23,0,0,336,0,2,67,959,4
"Hamilton County, Florida Territory",1464,763,701,1034,552,482,3,3,0,427,208,219,1037,1034,552,482,3,3,0,208,219,0,0,0,0,0,0,540,4,4,0,0,0,1,0,0,12,0,111,275,0
"Hillsborough County, Florida Territory",452,377,75,437,372,65,2,0,2,13,5,8,439,437,372,65,2,0,2,5,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,363,0
"Jackson County, Florida Territory",4681,2457,2224,2002,1099,903,43,24,19,2636,1334,1302,2045,2002,1099,903,43,24,19,1334,1302,6,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,25,75,0,165,690,0
"Jefferson County, Florida Territory",5713,2992,2721,2162,1209,953,2,2,0,3549,1781,1768,2164,2162,1209,953,2,2,0,1781,1768,2,1,4,0,4,0,2989,35,87,0,0,29,0,0,90,94,12,179,775,0
"Leon County, Florida Territory",10713,5704,5009,3461,2007,1454,21,18,3,7231,3679,3552,3482,3461,2007,1454,21,18,3,3679,3552,0,0,0,0,0,0,3980,125,352,7,13,48,1,0,41,100,0,136,1601,12
"Madison County, Florida Territory",2644,1433,1211,1442,800,642,0,0,0,1202,633,569,1442,1442,800,642,0,0,0,633,569,2,2,4,0,4,1,704,6,58,0,0,12,0,0,0,74,0,54,552,0
"Monroe County, Florida Territory",688,405,283,516,327,189,76,38,38,96,40,56,592,516,327,189,76,38,38,40,56,3,1,1,0,1,0,3,50,44,142,2,6,0,0,0,23,0,17,288,1
"Mosquito County, Florida Territory",73,70,3,73,70,3,0,0,0,0,0,0,73,73,70,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,26,0
"Nassau County, Florida Territory",1892,949,943,954,495,459,30,14,16,908,440,468,984,954,495,459,30,14,16,440,468,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,60,0,0,385,0
